id,title,venue_id,date,start_time,end_time,kind,tickets,age,description,url,photo,ticketURL
deviantcropartexhibitsunday,Deviant Crop Art Exhibit Sunday,cancanwonderland,10/2/2026,11:00:00 AM,7:00:00 PM,art,Paid Ticket Required,21+,"Art “Too Adult” For the State Fair

Can Can Wonderland is hosting the Deviant Crop Art Gallery from September 15th through October 11th for crop art that was too naughty to make it into the State Fair! Exhibit is Included with daily admission ($19).
",https://www.cancanwonderland.com/events/deviant-crop-art-show,,https://www.cancanwonderland.com/faq
karaokewithsillymisstilly(allages),Karaoke with Silly Miss Tilly (All ages),cancanwonderland,10/2/2026,6:00:00 PM,8:30:00 PM,performance,Paid Ticket Required,all ages,"Can Can Wonderland will be hosting an all-ages Karaoke with Silly Miss Tilly from 6:00PM-8:30PM! This weekend’s theme will be wigs so make sure to wear your wackiest wig! Cover charge is $19.

Can Can will also be collecting NEW or GENTLY USED costumes from September 24th until October 23rd! If a guest brings in a costume, they receive $5 off entry. On October 25th, from 12:00PM to 3:00PM, they will host a costume pick-up for families in need of a costume for Halloween!
",https://www.cancanwonderland.com/,,https://www.cancanwonderland.com/faq
karaokewithsillymisstilly(21+),Karaoke with Silly Miss Tilly (21+),cancanwonderland,10/2/2026,9:00:00 PM,12:00:00 AM,performance,Paid Ticket Required,21+,"Can Can Wonderland will be hosting a 21+ Karaoke with Silly Miss Tilly starting at 9:00PM! This weekend’s theme will be wigs so make sure to wear your wackiest wig! Cover charge is $19.

Can Can will also be collecting NEW or GENTLY USED costumes from September 24th until October 23rd! If a guest brings in a costume, they receive $5 off entry. On October 25th, from 12:00PM to 3:00PM, they will host a costume pick-up for families in need of a costume for Halloween!
",https://www.cancanwonderland.com/,,https://www.cancanwonderland.com/faq
halloweendragbingo(allages),Halloween Drag Bingo (All Ages),cancanwonderland,10/3/2026,6:00:00 PM,9:00:00 PM,performance,Paid Ticket Required,all ages,"Tee Time Drag Shows is hosting all-ages Halloween Drag Bingo from 6:00PM to 9:00PM. Cover charge is $19.

Can Can will also be collecting NEW or GENTLY USED costumes from September 24th until October 23rd! If a guest brings in a costume, they receive $5 off entry. On October 25th, from 12:00PM to 3:00PM, they will host a costume pick-up for families in need of a costume for Halloween!
",https://www.cancanwonderland.com/,,https://www.cancanwonderland.com/faq
halloweendragshow(21+),Halloween Drag Show (21+),cancanwonderland,10/3/2026,9:00:00 PM,12:00:00 AM,performance,Paid Ticket Required,21+,"Tee Time Drag Shows is hosting a 21+ Halloween Drag Show from 9:00PM-12:00PM. Cover charge is $19.

Can Can will also be collecting NEW or GENTLY USED costumes from September 24th until October 23rd! If a guest brings in a costume, they receive $5 off entry. On October 25th, from 12:00PM to 3:00PM, they will host a costume pick-up for families in need of a costume for Halloween!
",https://www.cancanwonderland.com/,,https://www.cancanwonderland.com/faq
groupartexhibitionatamacc,Group Art Exhibition at AMACC,"africanmuseum,arts,&culturalcenter(amacc)",10/2/2026,1:00:00 PM,5:00:00 PM,art,General Admission,all ages,"Group Art Exhibition at AMACC (African Museum Arts and Cultural Center)


Showcasing art from local African and African diaspora artists from October 2nd - October 16th. 
Gallery Hours: Tuesday - Friday 1:00PM-5:00PM 
",https://museum.aeds-mn.org/,,
wearableartworkshop,Wearable Art Workshop ,hamlinepark,10/3/2026,12:00:00 PM,4:00:00 PM,art,General Admission,all ages,"Broderick Poole A.K.A. Vintage Poole Art will be hosting a Wearable Art Workshop for youth and families where guests create custom wearable pieces using paint, stencils, and mixed materials inspired by their personal style. This workshop is a hands-on, engaging experience that encourages creativity, self-expression, and community participation.","https://thez1.myshopify.com/collections/the-broderick-poole-collection 
https://vintagepooleboy.bigcartel.com/ 
",,
youngdanceworkshop,Tappy Hour for Beginners,keanesenseofrhythm,10/4/2026,11:00:00 AM,11:45:00 PM,performance,General Admission,18+,"No experience necessary. You know how to walk; now learn how to tap! Like any new language, we start simple as we expand our physical vocabulary in a playful, low-impact structure. Laughter is encouraged. Tap shoes are available to try. Come a few minutes early to find a shoe that fits! Enter through the back door off of Charles st (free parking), or the door on University Ave.",,,
openclassesattudance,Open Classes at TU Dance,tudancecenter,10/3/2026,9:45:00 AM,5:15:00 PM,performance,General Admission,all ages,"TU Dance is opening up some of their regular Saturday classes for the festival: Modern (Ages 9-12): 9:45am-10:45am, Ballet (Ages 7-9): 10:45am-11:45am, Ballet (Ages 9-12): 11:00am-12:00pm, Modern (Ages 7-9): 12:00pm-1:00pm, Hip Hop (Ages 9-16): 1:00pm-2:00pm, Ballet (Ages 13-16): 2:00pm-3:30pm, Modern (Ages 13-16): 4:00pm-5:15pm",,,
youngdanceworkshop,Young Dance Workshop,youngdance,10/4/2026,1:30:00 PM,2:30:00 PM,performance,General Admission,all ages,"Bring your family and friends and join Young Dance for an all-ages Move Together workshop. Through music, activities, and guided dance, we’ll explore different ways to move, connect, and express ourselves. No previous dance experience is needed, and everyone is welcome to participate in their own way. Recommended for ages 7+, but all are welcome!",,,
thevanevisitingwriter:readingandwritingwhentheworldseemslost--debolinunferthinconversationwithpatrickcottrell,The Vane Visiting Writer: Reading and Writing When the World Seems Lost -- Deb Olin Unferth in conversation with Patrick Cottrell,sundinmusichall,10/1/2026,7:00:00 PM,9:00:00 PM,literary,Free Ticket Required,all ages,"Reading and writing can offer new ways of understanding ourselves and the world around us, particularly in times of personal, cultural, and environmental loss. In this conversation, author Deb Olin Unferth and alumnus and novelist Patrick Cottrell will explore how writers respond to a world in transition—and how reading can help us navigate uncertainty, grief, and change. Unferth will read from her new novel, Earth 7 (Graywolf 2026), which explores climate disaster, grief, and humanity’s relationship with the planet. She will then join Cottrell, author of Afternoon Hours of a Hermit (HarperCollins 2026), for a conversation about adaptation, transition, and change—central subjects in both of their work. Together, Unferth and Cottrell will consider what continues to make the novel “novel” and how writers find new ways to see and reflect on ourselves and the world around us. Their conversation will explore what reading and writing can offer when the world seems lost—and how literature might help us imagine what comes next. Free and open to the public -- but please register at the link provided. Contact Meghan Maloney-Vinz at mvinz01@hamline.edu with questions about this event or the Vane Creative Artist Series.",https://alumni.hamline.edu/e/vane-creative-artist-series-reading-and-writing-when-the-world-seems-lost/&sa=D&source=calendar&ust=1790199048903500&usg=AOvVaw0epBExKTHX0R20uHVDRUMR,,https://alumni.hamline.edu/e/vane-creative-artist-series-reading-and-writing-when-the-world-seems-lost/
gavinstrappe,Gavin Strappe,thedublinerpub,10/3/2026,8:00:00 PM,12:00:00 AM,music,General Admission,21+,"Gavin Strappe was born in South Tipperary and began playing the Tenor Banjo at the age of ten. It was at this stage that Gavin developed a huge passion for Irish music and also began to play Mandolin and Tenor Guitar. This resulted in Gavin enjoying much success at Fleadh Cheol competitions with him winning numerous competitions at county, provincial and All-Ireland level.",https://thedublinerpub.com/show/gavin-strappe/?lre_date=2026-10-03,,
arbormoon,Arbor Moon,thedublinerpub,10/2/2026,9:00:00 PM,12:00:00 AM,music,General Admission,21+,"Arbor Moon’s music is a new and fresh take on music that feels reminiscent. Their sound aims to evoke rootsy americana with melodic richness, often featuring acoustic strings, vocal harmonies and storytelling lyrics. The band’s name is a symbolic nod to growth, exploration, and roots- both literal and musical.",https://thedublinerpub.com/show/arbor-moon/?lre_date=2026-10-02,,
twinpropjane,Twin Prop Jane,thedublinerpub,10/4/2026,3:00:00 PM,5:00:00 PM,music,General Admission,21+,"Stow away and tuck in for some folk sessions with Tam Maluda Jones of the Northerly Gales and Dee Brust of SisterTree and Purgatory Creek.Twin Prop Jane takes flight with fiddle, guitar, mandolin, and vocals to a timeless harmonic thrum.",https://thedublinerpub.com/show/twin-prop-jane-matinee/?lre_date=2026-10-04,,
parisotatrio,Parisota Trio,thedublinerpub,10/4/2026,6:00:00 PM,8:00:00 PM,music,General Admission,21+,"Parisota Hot Club currently performs as a trio featuring Robb Henry, Matt Senjem, and Jay Epstein.",https://thedublinerpub.com/show/parisota-trio/?lre_date=2026-10-04 ,,
windowdisplaygalleryatfluidinksaturday,Window Display Gallery at Fluid Ink Saturday,fluidinktattoos,10/3/2026,12:00:00 PM,9:00:00 PM,art,General Admission,all ages,"Come check out the window display at Fluid Ink this weekend to discover some of our featured artists on Saturday, 10/3 between 12:00PM-9:00PM, or Sunday, 10/4, from 12:00PM-8:00PM.",https://www.fluidinkmn.com/,,
windowdisplaygalleryatfluidinksunday,Window Display Gallery at Fluid Ink Sunday,fluidinktattoos,10/4/2026,12:00:00 PM,8:00:00 PM,art,General Admission,all ages,"Come check out the window display at Fluid Ink this weekend to discover some of our featured artists on Saturday, 10/3 between 12:00PM-9:00PM, or Sunday, 10/4, from 12:00PM-8:00PM.",https://www.fluidinkmn.com/,,
flashtattooeventatfluidinksaturday,Flash Tattoo Event at Fluid Ink Saturday,fluidinktattoos,10/3/2026,12:00:00 PM,9:00:00 PM,vendor,General Admission,18+,Fluid Ink will be hosting a Midway-themed Flash Tattoo event all day!,https://www.fluidinkmn.com/,,
flashtattooeventatfluidinksunday,Flash Tattoo Event at Fluid Ink Sunday,fluidinktattoos,10/4/2026,12:00:00 PM,8:00:00 PM,vendor,General Admission,18+,Fluid Ink will be hosting a Midway-themed Flash Tattoo event all day!,https://www.fluidinkmn.com/,,
obioriginal,Obi Original,urbanlights,10/3/2026,5:00:00 PM,,music,General Admission,all ages,,,,
erikbrandt&thefolksingers,Erik Brandt & the Folksingers,blackhartofsaintpaul,10/3/2026,4:00:00 PM,4:45:00 PM,music,General Admission,21+,"Erik Brandt has been the ringleader of the award-winning eclectic Twin Cities-based Urban Hillbilly Quartet since 1995. By night, he plays music. By day, he teaches high school English in St. Paul, MN. He’s played in venues all over the USA, Canada, Australia, and on various street corners throughout Europe. He’s also taught Shakespeare, grammar, haikus and standardized test prep.

On stage, Erik performs mainly original material drawn from the Americana vein. Most of his original tunes can be found on the nine albums he’s recorded with the UHQ and his four solo albums, including his latest, Folksinger. When choosing covers, he pulls liberally from the catalogs of Bob Dylan, The Flatlanders, Johnny Cash, and other Americana heroes. As a multi-instrumentalist, Erik switches between acoustic guitar, piano and accordion during performances.

His music has been influenced by and compared to: Americana powerhouses The Jayhawks, Gillian Welch, and Uncle Tupelo; Georgia’s Vigilantes of Love; Britain’s The Waterboys; Australia’s Paul Kelly; Canada’s Bruce Cockburn; and folk/jazz pioneers David Grisman, Paris Combo and Tin Hat Trio.

He’s the DJ and host of “Good Acoustics” on 88.5 KBEM-FM and also accordionist for the Roe Family Singers and Mega Yacht Jazz Combo.

Though Erik mostly performs solo, he is often joined by guests from UHQ and other bands on stage. The combination of his different instruments, songwriting talent and musical guests makes his live performances dynamic and unique. ",https://www.blackhartstp.com/calendar/2026/10/2/patio-midway-music-amp-arts-fest-drag-amp-music,,
mosaiconastickgalleryopenhoursfirday,Mosaic on a Stick Gallery Open Hours Firday,mosaiconastick,10/2/2026,10:00:00 AM,4:00:00 PM,art,General Admission,all ages,,https://www.mosaiconastick.com/,,
poeticroots,Poetic Roots,blackhartofsaintpaul,10/3/2026,8:00:00 PM,9:00:00 PM,music,General Admission,21+,,https://www.instagram.com/poeticroots_/?hl=en,,
